ἆ|ah!
ἃ|ha ha
ἀάατος|not to be injured, inviolable
ἀαγής|unbroken, not to be broken, hard, strong
ἄαδα|unpleasant
ἀάζω|breathe with the mouth wide open
ἀακίδωτος|barbless
ἄανθα|ear-ring
ἄαπτος|not to be touched, resistless, invincible
Ἀαρών|Aaron
ἄας|to-morrow
ἀασιφρονία|folly
ἀασμός|breathing out, expiration
ἀατήρ|dishonourer
ἄατος|insatiate
ἄατος2|[only Q.S.] > ἄητος
ἀάω|to hurt, damage
ἄβαγνα|untrodden
ἀβαθής|not deep
ἄβαθρος|without foundation
ἀβακέω|to be speechless
ἀβακής|speechless, infantine
ἀβάκιον|board, slab
ἀβακίσκος|small stone for inlaying
ἀβακοειδής|like an abacus
ἀβάκχευτος|uninitiated in the Bacchic orgies
ἀβακχίωτος|having no part in Bacchus, undrinkable
ἄβαλε|O that!
ἀβαμβάκευτος|not seasoned
ἄβαξ|slab, board
ἀβάπτιστος|not to be dipped, that will not sink
ἄβαπτος|not tempered
ἀβαρβάριστος|without barbarisms
ἀβαρής|without weight: not burdensome
ἄβαρις|having no boat, landsman
ἀβασάνιστος|not examined by torture, untortured
ἀβασίλευτος|not ruled by a king
ἀβασκάνιστος|free from malice
ἀβάσκανος|free from envy
ἀβάσκαντος|not subject to enchantment
ἀβάστακτος|not to be carried
ἀβατόομαι|to be made desert
ἄβατος|untrodden, impassable, inaccessible
ἀββα|father
ἀβδέλυκτος|not to be abominated
Ἄβδηρα|town of Abdera, known for stupidity of inhabitants
Ἀβδηρίτης|a man of Abdera
Ἀβδηριτικός|like an Abderite
ἄβδης|scourge
ἀβέβαιος|uncertain, unsteady
ἀβεβαιότης|instability
ἀβέβηλος|not profane, inviolable
ἀβελτερεύομαι|play the fool
ἀβελτερία|silliness, stupidity, fatuity
ἀβελτεροκόκκυξ|silly fellow
ἀβέλτερος|good for nothing, silly, stupid, fatuous
ἀβίαστος|unforced, without violence
ἀβίβλης|without books
ἄβιος|without a living, starving
ἄβιος2|wealthy
ἀβίοτος|making life unliveable
ἀβιωτοποιός|making life insupportable
ἀβίωτος|not to be lived, insupportable
ἀβλάβεια|freedom from harm
ἀβλαβής|without harm
ἀβλαστέω|not to run to leaf
ἀβλάστητος|not striking from cuttings
ἄβλαστος|not growing out
ἄβλαυτος|unslippered
ἀβλεμής|feeble
ἀβλεννής|mucus
ἀβλεπτέω|overlook, disregard
ἀβλέπτημα|mistake, oversight
ἀβλέφαρος|without eye-lids
ἀβλεψία|blindness
ἀβλής|not thrown
ἄβλητος|not hit
ἀβληχής|without bleatings
ἀβληχρής|mild, soothing
ἀβληχρός|weak, feeble
ἀβοηθησία|helplessness
ἀβοήθητος|helpless
ἀβοηθί|without assistance
ἀβοητί|without summons
ἀβόητος|not loudly lamented
ἀβολέω|meet
ἀβολητύς|a meeting
ἀβολήτωρ|one who meets
ἀβόλλα|abolla, thick woollen cloak
ἄβολος|that has not shed his foal-teeth
ἀβόρβορος|without filth
Ἀβοριγῖνες|aborigines
ἄβορος|greedy
ἀβοσκής|unfed, fasting
ἀβόσκητος|ungrazed
ἄβοτος|without pasture
ἀβουκόλητος|untended by herdsmen
ἀβουλεί|inconsiderately
ἀβούλευτος|ill-advised, inconsiderate
ἀβουλέω|to be unwilling
ἀβούλητος|involuntary
ἀβουλία|want of counsel, thoughtlessness
ἄβουλος|inconsiderate, ill-advised
ἀβούτης|without oxen
ἀβουχόλητος|untended
ἅβρα|favourite slave
ἀβραμύας|throw at dice
ἄβραχος|not steeped
ἀβριθής|of no weight
ἄβρικτος|wakeful
ἁβροβάτης|softly
ἁβρόβιος|living delicately, effeminate
ἁβρόγοος|wailing womanishly
ἁβρόδαις|luxurious
ἁβροδίαιτα|luxurious living
ἁβροδίαιτος|living delicately
ἁβροείμων|softly clad
ἁβροκόμης|with luxuriant foliage; with delicate hair
ἀβρόμιος|without Bacchus
ἁβρομίτρης|with dainty girdle
ἄβρομος|very noisy, boisterous
ἁβροπάρθενοι|consisting of delicate maidens
ἁβροπέδιλος|with soft sandals
ἁβροπέτηλος|with soft leaves
ἁβρόπηνος|of delicate texture
ἁβρόπλουτος|richly luxuriant
ἁβρός|delicate, graceful, beauteous, pretty
ἁβροσταγής|dropping rich unguents
ἁβρόσφυρος|with delicate ankles
ἀβροτάζω|to miss
ἁβρότας|splendour, prosperity
ἁβρότης|delicacy, luxury
ἁβρότιμος|delicate and costly
ἀβροτόνινος|made of ἀβρότονον
ἀβροτονίτης|prepared with
ἀβρότονον|wormwood, Artemisia arborescens
ἄβροτος|immortal, divine, holy
ἀβροχέω|not to be inundated
ἀβροχία|want of rain, drought
ἁβροχίτων|in soft tunic, softly clad
ἄβροχος|unwetted, unmoistened
ἅβρυνα|mulberries
ἁβρυντής|coxcomb, fop
ἁβρύνω|to make delicate, treat delicately
ἅβρωμα|a woman’s garment
ἄβρωμος|free from smell
Ἄβρων|Abron
ἀβρώς|not devoured
ἀβρωσία|want of food, fasting
ἄβρωτος|uneatable, not good for food
Ἀβυδηνός|of or from Abydos
Ἀβυδόθεν|from Abydos
Ἀβυδόθι|at Abydos
Ἄβυδος|Abydos
ἀβύρσευτος|untanned
ἀβυρτάκη|sour sauce of leeks, cress, and pomegranateseeds
ἀβυρτακοποιός|making ἀβυρτάκη
ἀβυρτακώδης|like ἀβυρτάκη
ἄβυσσος|with no bottom, bottomless, unfathomed
ἀβωλόκοπος|not hoed
ἄβωλος|not mixed with clods of earth
ἄβως|speechless
ἄγα|[Dor. > ἄγη]
ἀγάζομαι|reverence, worship
ἀγάζω|exalt overmuch; mid. honor
ἀγαθάγγελος|bringing good tidings
ἀγαθείκελος|like the good
ἀγάθεος|most holy
ἀγαθίς|ball of thread
ἀγαθογονία|production of good
ἀγαθοδαιμονέω|occupy the house of ἀγαθοδαίμων III
ἀγαθοδαιμονητικός|belonging thereto
ἀγαθοδαιμονισταί|guests who drink only to the ἀγαθὸς δαίμων
ἀγαθοδαίμων|the good Genius
ἀγαθοδοσία|the giving of good
ἀγαθοδότης|the giver of good
ἀγαθοειδής|seeming good
ἀγαθοεργέω|to do good
ἀγαθοεργία|a good deed, service rendered
ἀγαθοεργός|doing good
ἀγαθοθέλεια|desire of good
ἀγαθοθελής|benevolent
ἀγαθολογέω|use fair words
ἀγαθοποιέω|to do good
ἀγαθοποίησις|well-doing
ἀγαθοποιία|well doing
ἀγαθοποιός|doing good, beneficent
ἀγαθός|good
ἀγαθοσύμβουλος|benesuasor
ἀγαθότης|goodness
ἀγαθοτυχέω|occupy the house of ἀγαθὴ τύχη
ἀγαθοφανής|appearing good, hypocritical
ἀγαθοφόρος|bearing good tidings
ἀγαθόφρων|well-disposed
ἀγαθόω|do good to
ἀγάθυνσις|making good
ἀγαθύνω|honour, magnify
ἀγάθωμα|embodiment of the good
Ἀγαθωνίδας|Agathonidas
ἀγαθωσύνη|goodness, kindness
ἀγαίομαι|to be indignant at
ἀγαῖος|enviable
ἀγαῖος2|leading the procession
Ἀγακλῆς|Agacles, a Myrmidon [for adj. see -εής]
ἀγακλεής|very glorious, famous
ἀγακτιμένη|well-built
ἀγαλακτία|want of milk
ἀγάλακτος|without milk, getting no milk
ἀγαλλίαμα|transport of joy
ἀγαλλίασις|great joy, exultation
ἀγαλλιάω|to rejoice exceedingly
ἀγαλλίς|the iris
ἀγάλλομαι|take delight
ἀγάλλω|to make glorious, glorify, exalt
ἄγαλμα|a glory, delight, honour; a cult statue
ἀγαλματίας|like a statue, beautiful as one
ἀγαλματογλύφος|sculptor
ἀγαλματοποιέω|make statues
ἀγαλματοποιητικός|of or for statuary
ἀγαλματοποιΐα|sculptor's art
ἀγαλματοποιικός|sculptor's fee
ἀγαλματοποιός|a maker of statues, a sculptor, statuary
ἀγαλματοφορέω|carry an image in one's mind, bear impressed upon one's mind
ἀγαλματοφόρος|carrying an image in one's mind
ἀγαλματοφώρας|temple-robber
ἀγαλματόω|make into an image
ἀγαλματώδης|like a statue
ἀγαλμοτυπεύς|maker of statues
ἀγάλοχον|eagle-wood, Aquilaria malaccensis
ἄγαλσις|rejoicing
ἄγαμαι|to wonder, be astonished
Ἀγαμεμνόνεος|of Agamemnon
Ἀγαμεμνονίδης|Agamemnon's son
Ἀγαμέμνων|Agamemnon, lit. the very steadfast
ἀγαμένως|with admiration, respect
ἀγαμία|celibacy
ἀγαμίου|for not marrying
ἄγαμος|unmarried, unwedded, single
ἄγαν|very, much, very much
ἀγανακτέω|to feel irritation
ἀγανάκτησις|irritation
ἀγανακτητέον|one must complain
ἀγανακτητικός|irritable
ἀγανακτητός|irritating
ἀγάννιφος|much snowed on, snow-capt
ἀγανοβλέφαρος|mild-eyed
ἀγανόμματος|mild-eyed
ἄγανος|broken
ἀγανός|mild, gentle, kindly
ἀγανοφροσύνη|gentleness, kindliness
ἀγανόφρων|gentle of mood
ἀγανῶπις|mild-eyed
ἀγάνωρ|proud
ἀγάνωτος|not enamelled
ἀγάομαι|admiring
ἀγαπάζω|to treat with affection, shew affection to
ἀγαπατός|desirable
ἀγαπάω|to treat with affection, to caress, love, be fond of
ἀγάπη|love
ἀγάπημα|a delight, darling
ἀγαπήνωρ|loving manliness, manly
ἀγάπησις|affection
ἀγαπητέος|to be loved, desired
ἀγαπητικός|affectionate
ἀγαπητός|beloved
ἀγαρικόν|tree-fungi
ἄγαρρις|meeting
ἀγάρροος|strong-flowing, swift-flowing
ἀγασθενής|very strong
ἄγασις|rejoicing
ἄγασμα|object of adoration
ἀγάστονος|much groaning, howling
ἀγαστός|deserving admiration
ἀγάστωρ|from the same womb:
ἀγασυλλίς|Ferula marmarica
ἀγάσυρτος|swept and garnished
Ἀγαύη|[see Ἀγαυή]
ἀγαυός|illustrious, noble
ἀγαυρίαμα|insolence
ἀγαυριάομαι|to be insolent
ἀγαυρός|stately, proud
ἀγάφθεγκτος|loud-sounding
ἄγγαρα|daily stages of the ἄγγαροι
ἀγγαρεία|impressment for the public service
ἀγγαρευτής|one who impresses
ἀγγαρεύω|press one to serve as an ἄγγαρος, generally, press into service
ἀγγαρήϊος|Persian mounted courier, for carrying royal dispatches
ἀγγαρήϊον|post-riding, the Persian system of mounted couriers
ἄγγαρος|a mounted courier
ἀγγαροφορέω|bear as an ἄγγαρος
ἀγγείδιον|gallbladder
ἀγγειολογέω|take up a vein and operate upon it
ἀγγειολογία|operating on a vein
ἀγγεῖον|vessel, reservoir
ἀγγειοτομία|section of a vein
ἀγγειώδης|like a vessel, hollow
ἀγγελία|a message, tidings, news
ἀγγελιαφορέω|bear messages
ἀγγελιαφόρος|a messenger
ἀγγελίη|tidings, message, report;
ἀγγελίης|messenger;
ἀγγελικός|of or for a messenger
ἀγγέλλω|to bear a message
ἄγγελμα|a message, tidings, news
ἄγγελος|a messenger, envoy
ἀγγελτικός|premonitory
ἀγγοθήκη|receptacle for vessels
ἄγγος|a vessel
ἄγγουρος|cake
ἀγγριστής|irritator
ἄγγων|Frankish javelin
ἄγδην|by carrying
ἄγε|come! come on! well!
ἀγέγωνος|speechless
ἄγεθλον|sacrificial victim
ἄγειος|landless
ἀγείρω|to bring together, gather together
ἀγείσωτος|without cornice
ἀγείτων|without neighbour, neighbourless
ἀγέλα|herd
ἀγελάζομαι|to be gregarious, flock
ἀγελαιοκομικός|pertaining to cattle-breeding
ἀγελαῖος|belonging to a herd, feeding at large
ἀγελαιοτροφία|keeping of herds
ἀγελαιοτροφικός|of or fit for keeping of herds
ἀγελαιοτρόφος|keeping herds
ἀγελαιών|a place for herds
ἀγέλαοι|members of a band of youths (Crete and Sparta)
ἀγελαρχέω|to lead a company
ἀγελάρχης|the leader of a company, captain
ἀγέλασμα|gathering, crowd
ἀγελαστέω|to be ἀγέλαστος, not prone to laugh, grave
ἀγελαστί|without laughter
ἀγελαστικός|gregarious, social
ἀγέλαστος|not laughing, grave, gloomy, sullen
ἀγελείη|driver of spoil, forager
ἀγέλη|a herd
ἀγεληδόν|in herds
ἀγέληθεν|from a herd
ἀγεληκόμος|keeping herds
ἀγελήτης|belonging to a herd
ἀγελητρόφος|horse-keeper
ἀγελίζει|gregat
ἀγελικός|of the flock
