antequam	ante
cum	cum1,cum2
dē	de2
facta	facio,fio
factam	facio,fio
factum	facio,fio
factus	facio,fio
ne	ne2
pede	pes
pedum	pes
prīncipia	prīncipium
prīncipiī	prīncipium
prīncipiīs	prīncipium
prīncipiō	prīncipium
prīncipiōrum	prīncipium
prīncipium	prīncipium
que	que
quiēta	quiesco,quietus
quiētā	quiesco,quietus
quiētae	quiesco,quietus
quiētam	quiesco,quietus
quiētārum	quiesco,quietus
quiētās	quiesco,quietus
quiētī	quiesco,quietus
quiētīs	quiesco,quietus
quiētōrum	quiesco,quietus
quiētōs	quiesco,quietus
quo	qui1,quo1,quo2,quo3
saltā	salto
saltābam	salto
saltābāminī	salto
saltābāmur	salto
saltābāmus	salto
saltābant	salto
saltābántur	salto
saltābar	salto
saltābāris	salto
saltābās	salto
saltābat	salto
saltābātis	salto
saltābātur	salto
saltāberis	salto
saltābíminī	salto
saltābimur	salto
saltābimus	salto
saltābis	salto
saltābit	salto
saltābitis	salto
saltābitur	salto
saltābō	salto
saltābor	salto
saltābunt	salto
saltābúntur	salto
saltāminī	salto
saltāmur	salto
saltāmus	salto
saltanda	salto
saltandā	salto
saltandae	salto
saltandam	salto
saltandārum	salto
saltandās	salto
saltandī	salto
saltandīs	salto
saltandō	salto
saltandōrum	salto
saltandōs	salto
saltandum	salto
saltandus	salto
saltāns	salto
saltant	salto
saltante	salto
saltantem	salto
saltantēs	salto
saltantī	salto
saltantibus	salto
saltantis	salto
saltantō	salto
saltantum	salto
saltántur	salto
saltāre	salto
saltārem	salto
saltārēminī	salto
saltārēmur	salto
saltārēmus	salto
saltārent	salto
saltārentur	salto
saltārer	salto
saltārēris	salto
saltārēs	salto
saltāret	salto
saltārētis	salto
saltārētur	salto
saltārī	salto
saltāris	salto
saltās	salto
saltat	salto
saltāta	salto
saltātā	salto
saltātae	salto
saltātam	salto
saltātārum	salto
saltātās	salto
saltāte	salto
saltātī	salto
saltātis	salto
saltātīs	salto
saltātō	salto
saltātōrum	salto
saltātōs	salto
saltātōte	salto
saltātum	salto
saltātur	salto
saltātūrum	salto
saltātus	salto
saltāveram	salto
saltāverāmus	salto
saltāverant	salto
saltāverās	salto
saltāverat	salto
saltāverātis	salto
saltāverim	salto
saltāverimus	salto
saltāverint	salto
saltāveris	salto
saltāverit	salto
saltāveritis	salto
saltāverō	salto
saltāvērunt	salto
saltāvī	salto
saltāvimus	salto
saltāvisse	salto
saltāvissem	salto
saltāvissēmus	salto
saltāvissent	salto
saltāvissēs	salto
saltāvisset	salto
saltāvissētis	salto
saltāvistī	salto
saltāvistis	salto
saltāvit	salto
saltem	salto
saltēminī	salto
saltēmur	salto
saltēmus	salto
saltent	salto
saltentur	salto
salter	salto
saltēris	salto
saltēs	salto
saltet	salto
saltētis	salto
saltētur	salto
saltō	salto
saltor	salto
tyrannī	tyrannus
tyrannīs	tyrannus
tyrannō	tyrannus
tyrannōrum	tyrannus
tyrannōs	tyrannus
tyrannum	tyrannus
tyrannus	tyrannus
