id	gloss	lemma_id
1	ah!	1
2	abbrev.: ante, anno: ante diem, anno urbis conditae	2
3	ah!	2
5	from, away from (+ abl.)	8
6	driven away, driven off	12
7	 a table of precious material for the display of plate	14
8	a transfer of property, sale, cession	19
9	to convey away, make a former transfer of, sell, alienate	20
10	 of Abas (king of Argos): Argi, O	24
11	 a son or descendant of Abas (king of Argos), O	25
12	a grandfather’s grandfather	38
13	 a town of Thrace, proverbial for narrow-minded people	51
14	a formal laying down, voluntary renunciation, abdication	54
15	deny, disown, reject, renounce	57
16	to forbid by an unfavorable omen, reject (opp. addico)	58
17	hidden, concealed, secret	61
18	to put away, remove, set aside	62
19	 the belly, abdomen	63
20	to lead away, take away, carry off, remove, lead aside	64
21	 a town of Campania, V	73
22	to go away, go from	79
23	to ride away (once)	81
24	a relief, diversion	82
25	to wander out of the way, lose the way, go astray	83
26	keep away	90
27	 of time, ago, since, before now	92
28	incongruous, inappropriate	93
29	to shrink back from, have an aversion for, shudder at, abhor	94
30	to throw from one, cast away, throw away, throw down	99
31	dispiritedly, abjectly	100
32	a casting down	101
33	low, crouching	102
34	of fir-wood, deal	103
35	 the fir-tree, silver-fir	105
36	to drive away, drive off	112
37	a departure	118
38	a departure, removal	120
39	to give judgment against, deprive by a judicial decision, adjudge away	122
40	to unyoke, loose from harness	124
41	to deny on oath, abjure	127
42	digging a trench around a tree	130
43	dig a trench around a tree	131
44	P. of aufero	136
45	a sending away, sending off	137
46	to send off, send out of the way, banish, send into exile	138
47	to consume in dainty living, waste in feasting (rare)	140
48	to play out of tune	144
49	to wash away, remove by washing	145
50	a washing, cleansing	146
51	to refuse, deny (poet.)	156
52	deviating from rule, irregular	163
53	to refuse by a sign, deny, refuse, reject, decline	167
54	to forbid with emphasis	170
55	to destroy, abolish, efface, put out of the way, annihilate	172
56	to decay gradually, vanish, disappear, die out	173
57	an abolition	175
58	 a mantle, cloak	176
59	abomination	180
60	 orig. of bad omens, to deprecate, wish to nullify	181
61	the first ancestors of the Romans	183
62	disappear, pass away	185
63	 the procuring of an untimely birth, abortion	188
64	 prematurely born	191
65	 an untimely birth	194
66	to scrape away, shave off	197
67	P. of abripio	205
68	to take forcibly away, snatch away, tear from, force off	208
69	to gnaw off	210
70	repeal	211
71	to repeal, annul, abrogate	212
72	 an aromatic plant, southern-wood (a medicine)	214
73	to break off, break away, tear, rend, burst, sever	216
74	a breaking off	218
75	broken off, cut off	220
76	to give way, go off, move away, retire, withdraw, depart	222
77	diminution (once)	223
78	a going away, departure, absence	225
79	to cut off, hew off	226
80	to tear off, break away, break off	228
81	in rhet., a breaking off, interruption	229
82	P. of abscindo	231
83	cut off, severed	232
84	obscurely, abstrusely	233
85	concealed, secret, hidden	235
86	to put out of sight, hide, conceal	236
87	absent	240
88	absence	241
89	 unlike (once)	252
90	to withdraw from, depart, go away	257
91	completely, perfectly, fully, absolutely	261
92	an acquittal	262
93	complete, finished	265
94	to set free, release, discharge	266
95	 deviating from the right tone, discordant, inharmonious	268
96	to swallow down, devour	269
98	 abstaining from drink, temperate, abstemious, moderate	277
99	to wipe off, cleanse by wiping	279
100	to frighten off, drive away	280
101	abstinent, temperate, moderate	282
102	 unselfishly, modestly (rare); versatus	283
103	abstinence, starvation	284
104	to keep back, keep off, hold back	285
105	to stand off (rare)	286
106	P. of abstraho	289
107	to drag away, draw off, pull away, detach	290
108	to thrust away, push into concealment, hide, conceal	292
109	hidden, concealed, secret	295
110	 of aufero	296
111	to be away, be absent	298
112	to take away, diminish, use up, consume, exhaust	300
113	inharmoniously	303
114	out of tune, discordant, harsh	305
115	of rivers, etc., overflowing, full	311
116	fully, copiously	312
117	plenty, fullness, abundance	313
118	in profusion, more than enough, abundantly, amply	315
119	to overflow, stream over, of a river or lake	316
120	copious (post-class.)	317
121	the improper use of a word	318
122	praep. with abl, all the way from	321
123	an abusing, using up	322
124	 to use up, consume, spend, exhaust	323
125	 of Abydus, a town in Mysia	330
126	 the gymnasium near Athens, where Plato taught	335
127	 the title of Cicero’s treatise on the Academic philosophy	336
128	 of the Academy, Academic	337
129	 an Academic philosopher	338
130	to approach	372
131	a hastening	373
132	hasten, accelerate	374
133	to kindle, set on fire, light; inflame	378
134	to reckon to, count among (rare)	379
135	 unarmed supernumeraries of a legion, ready to fill vacancies	380
136	an attendant of a magistrate, apparitor, orderly	382
137	P. of accendo	383
138	formal discharging from a debt	389
139	a taking, receiving, accepting	390
140	to take, receive	392
141	the receipt	396
142	welcome, acceptable, pleasing, dear	397
143	a coming to, approach	403
144	a coming near, approach	406
145	of the poet Lu. Accius	407
146	to fall upon; to happen	409
147	to cut, cut down	410
148	to gird to, gird on, bind on, put on with a girdle, gird round	412
149	to call, summon, send for, invite	414
150	to accept, receive	415
151	a bird of prey, falcon, hawk	416
152	 impaired, ruined, disordered, overthrown, destroyed	419
153	 P. of 2 accido	420
154	a summons, call	424
155	a calling, shout, exclamation	425
156	to call to, shout at, exclaim	427
157	to make clear, reveal, disclose	428
158	recumbent, curved	429
159	leaning on, inclined to	430
160	to cause to lean on, stay upon	431
161	up-hill, ascending, steep	432
162	an ascent, rising grade, acclivity	433
163	he who dwells near, a neighbor	436
164	to dwell near, be a neighbor to	437
165	fitly, suitably, in accordance	439
166	an adjustment, accommodation	440
167	fitted, fit, suitable, adapted, appropriate to, in accordance with	441
168	to fit, adapt, put on, apply	442
169	 fit for, suitable for	443
170	to accord belief, believe fully	449
171	to grow progressively, increase, become greater	450
172	an increase	451
173	a lying, reclining	457
174	to lie at, lie beside	462
175	to lay oneself down, lie beside	465
176	abundantly, copiously	466
177	one who heaps up	468
178	to heap up, increase by heaping, amass	469
179	carefully, precisely, exactly, nicely	470
180	exactness, carefulness	471
181	carefully wrought, elaborate, finished, exact	472
182	to give close attention to, be careful	473
183	to run to, hasten to	474
184	 a running to, coming to	475
185	that may be prosecuted, criminal	476
186	a formal complaint, indictment, accusation, prosecution	477
187	the accuser, prosecutor, plaintiff	479
188	as a prosecutor, in an accusing manner	480
189	of a prosecutor, relating to a prosecution, making a complaint	481
190	to call to account, make complaint against, reproach, blame, accuse	484
191	maple tree	493
192	sharp, piercing	494
193	bitterly	496
194	bitterness, harshness, sourness	497
195	to aggravate, make worse	499
196	harsh, bitter, unripe	501
197	of maple wood	504
198	a casket for incense	507
199	 of acriter	509
200	unshorn, i. e. ever youthful	511
201	a conclusion by accumulation, sorites	514
202	by heaps, in heaps	515
203	to heap up, pile up	517
204	 a mass of similar objects, pile, heap	518
205	to turn sour, sour	519
206	vinegar	530
207	 the inhabitants of the district of Achaia	531
208	 an ancestor of the kings of Persia	532
209	Persian, Parthian	535
210	 a Greek woman	539
211	 Achaean, Grecian	540
212	 Grecian	541
213	 Grecian	542
214	 of Acharnae (an Attic deme)	545
215	Achates, companion of Aeneas	549
216	 of the river Achelous	552
217	 a river of the lower world	555
218	 a river of the lower world	559
219	 of the Acheron in Bruttium	563
220	 a Grecian hero	569
221	 of Achilles	570
222	 Achaean, Grecian, O	572
223	 an epithet of Venus, from the fountain Acidalia in Boeotia, V	579
224	sour, acid, tart	585
225	edge; battle line	587
226	 a scimitar, short sabre, H., Cu	590
227	 a small berry	595
228	a sea-fish	598
229	 a small javelin with a strap, V	605
230	 without common-sense, Iu	612
231	 a poisonous plant, wolf’s-bane, aconite, O., V. --Poet., poison	620
232	to get in addition, obtain besides, accumulate	635
233	 Agrigentum, V	640
234	 a vessel for unmixed wine	641
235	 an unknown animal	644
236	irritable	646
237	sharpness, pungency	650
238	 of Acrisius, V., O	652
239	 a descendant of Acrisius, i. e. Perseus, O	653
240	 a king of Argos, V., O	654
241	sharply, fiercely	656
242	 an entertainment for the ear	659
243	 prop., a hearing; hence, a discourse, lecture, C	662
244	 a rocky promontory of Epirus	664
245	 the sea-shore, sea-beach	677
246	 the people of Attica	679
247	 grandson of Cadmus	680
248	 prop. of Acte (the coast of Attica)	681
249	of Actium	683
250	 Athenian	684
251	a putting in motion, doing, performing, acting, action, act	686
252	to conduct often, be engaged in, act in	687
253	 a promontory of Acarnania	688
254	 of Actium	690
255	a driver	692
256	a swift boat	698
257	a row-boat, barge	699
258	easily driven, swift	702
259	a deed, transaction, proposition, decree, law	703
260	passionately, eagerly	704
261	full of life, active	705
262	a driving, impulse, setting in motion	707
263	 immediately, forthwith	708
264	with a sting	711
265	a sting	714
266	a point	715
267	to sharpen, whet, point, make sharp	718
268	a needle	720
269	sharply	725
270	rather keen	730
271	 see acutus	731
272	sharpened, pointed, sharp, cutting	732
273	to, toward (+ acc.)	735
274	a compelling, exaction	738
275	P. of adigo	739
276	 in like manner, so also	742
277	to make equal, equalize, level with	743
278	hard as steel, adamantine, not to be broken	755
279	 hard as steel, inflexible	756
280	 adamant, hardest iron, steel	758
281	to fall in love with, conceive desire for, desire eagerly	761
282	to throw open, open wide, lay open	763
283	that may be opened	764
284	open, wide open	766
285	 to obtain water, fetch water (once)	770
286	to increase by adding, augment	780
287	to grow, increase	781
288	to take in by drinking	783
289	to crowd together	791
290	to give assent	793
291	 an award, adjudging (rare)	794
292	to learn in addition, gain knowledge of	796
293	an accession	797
294	to put on, add, join	803
295	to teach in addition (once)	804
296	to entertain a doubt, incline to doubt, hesitate, be uncertain	808
297	to lead to, bring to, bring along	809
298	strictly, severely	810
299	strict, severe	812
300	to eat away, gnaw at, consume	814
301	 The Brothers (a comedy), T	817
302	a taking away, depriving	822
303	P. of adimo	824
304	to go to, approach; address, consult, undertake, submit	826
305	to this, thus far, so far, as far	827
306	 the soft fat of non-ruminating animals, fat	829
307	an obtaining, attainment	830
308	to ride to, gallop to, ride up	832
309	 come to me, stand by me (once), T	835
310	P. of adedo	837
311	approachable, courteous, affable, kind, friendly	839
312	courtesy, affability	840
