Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
21,ā 1,from (+abl.),ab,,,,,,,,Preposition,Place
21,ā 2,by (+abl.),ab,,,,,,,,Preposition,Place
21,ab 1,from (+abl.),ab,,,,,,,,Preposition,Place
21,ab 2,by (+abl.),ab,,,,,,,,Preposition,Place
553,abeō -īre -iī -itum,go away,,,,FALSE,FALSE,5,,,Verb: Irregular,Motion
21,abs 1,from (+abl.),ab,,,,,,,,Preposition,Place
21,abs 2,by (+abl.),ab,,,TRUE,FALSE,1,,,Preposition,Place
445,absum abesse āfuī,"be away, absent",,,,FALSE,FALSE,14,,,Verb: Irregular,Travel
36,ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque",atque,ac does resolve to dcc atque,,TRUE,FALSE,,,,Conjunction,Conjunctions/Adverbs
614,accēdō -cēdere -cessī -cessum,approach,,,,FALSE,FALSE,5,,,Verb: 3rd Conjugation -ō,Motion
799,accidō -cidere -cidī,fall; happen,accido1,its actually marked accido1 rather than just accido,,FALSE,FALSE,14,,,Verb: 3rd Conjugation -ō,Motion
110,accipiō -cipere -cēpī -ceptum,receive,,,,FALSE,FALSE,5,,,Verb: 3rd Conjugation -iō,Social Life
587,ācer ācris ācre,"sharp, piercing",acer2,,,FALSE,FALSE,8,,,Adjective: 3rd Declension,Other Senses
439,aciēs -ēī f.,edge; line of battle,,,,TRUE,FALSE,8,,,Noun: 5th Declension,War and Peace
14,ad,"to, up to, towards (+acc.)",ad,only dcc lemma appears,,TRUE,FALSE,1,,,Preposition,Place
433,addō -dere -didī -ditum,give to,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Social Life
886,addūcō -ere -dūxī -ductum,"lead to, induce",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
555,adeō,"(adv.) to such a degree, so",adeo2,,,FALSE,FALSE,14,,,Adverb,Conjunctions/Adverbs
595,adeō -īre -iī -itum,go to,adeo1,,,FALSE,FALSE,,,,Verb: Irregular,Motion
959,adhibeō -hibēre -hibuī -hibitum,apply,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Making/Doing
379,adhūc,"thus far, to this point",,,,FALSE,FALSE,,,,Adverb,Place
279,adsum adesse affuī,be present,,,,TRUE,FALSE,14,,,Verb: Irregular,Place
987,adveniō -īre -vēnī -ventum,"come to, arrive at",,,,TRUE,FALSE,,,,Verb: 4th Conjugation,Travel
460,adversum 1,"facing, opposite, against, opposed (to)",adversus3,which doesn’t show up in Hedera? But this whole situation in Perseus is confusing,,FALSE,FALSE,,,,Adverb,War and Peace
460,adversum 2,"facing, opposite, against, opposed (to)",adversus3,,,,,,,,Preposition,War and Peace
460,adversus 1,"facing, opposite, against, opposed (to)",adversus3,,,,,,,,Adverb,War and Peace
460,adversus 2,"facing, opposite, against, opposed (to)",adversus3,,,,,,,,Preposition,War and Peace
657,adversus -a -um,"facing, opposed; unfavorable",adversus,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,War and Peace
986,advertō -vertere -vertī -versum,turn towards,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
965,aedēs -is f.,building; (pl.) house,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The House
810,aeger aegra aegrum,sick,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Life and Being
984,aegrē,with difficulty,aeger,"aegrē is separate from aeger in dcc but it’s not being found, whereas aequē is",,FALSE,FALSE,,,,Adverb,Life and Being
904,aequē,equally,aequus,this is giving choice of aequē or aequus from dcc which is fine,,FALSE,FALSE,,,,Adverb,Justice
424,aequor aequoris n.,"level surface, sea, plain",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Earth and Water
610,aequus -a -um,equal,,,,TRUE,FALSE,10,,,Adjective: 1st and 2nd Declension,Justice
