и	and
в	in; into; to; at
не	not
он	he
на	on; in; at
я	I
тот	that
быть	be
с	with; accompanied by (INST); from; since (GEN)
а	but; and (showing contrast)
весь	all; whole; entire
это	this is
как	how; as (with adverbs and sh adj)
она	she
по	around; along
но	but
они	they
к	towards; to a person´s house
у	at; by; near
ты	you (sg; informal) (thou)
из	from (в-words; most places)
мы	we
за	behind; beyond; around; to get; to fetch; drink to; for; in exchange for; in favor of
вы	you (plural; formal singular); y’all; you guys
так	so; thus
от	from (people; distances)
сказать	say; tell
этот	this; that
который	which; that; who; whom
люди	people
человек	person; man; human being; people
о	about
еще	still; yet; more
бы	would (conditional; subjunctive particle)
такой	such (a); so
только	only
себя	oneself
свое	one’s own
какой	what kind of; which ; what a (adj with nouns)
когда	when
уже	already
для	for (the benefit of); intended for
вот	this; here
кто	who
да	yes
говорить	speak; say; tell
год	year
мой	my; mine
до	before; until; up to; to
или	or
если	if (real conditions)
время	time
рука	hand; arm
нет	no; there is no
самый	most; -est
ни	nor; neither; not a
большой	big; large
даже	even
другой	other; another
наш	our; ours
свой	one´s own
ну	well; umm
под	under; below; beneath
где	where
дело	matter; business; thing; affair
есть	eat
есть	there is
раз	time; occurrence; one (counting)
чтобы	in order to; so that
два	2
там	there
чем	than (with comparisons)
глаз	eye
жизнь	life
первый	1st; first
день	day; afternoon
тут	here (more concrete location)
во	in; into; to; at
ничего	nothing
потом	then; and then; afterwards
очень	very
со	with; accompanied by (INST); from; since (GEN)
хотеть	want (irreg)
ли	if; whether; (question particle)
голова	head
надо	need to; have to; must
надо	above; over
без	without
видеть	see; catch sight of
идти	go; walk
теперь	now; and now; nowadays
тоже	also; too; as well [additional subject engaging in same activity]
стоять	stand; be standing
друг	friend; boyfriend
дом	house; apartment building
сейчас	now; right now
можно	may; permitted; allowed
после	after
слово	word
здесь	here (general location; may be abstract)
думать	think
место	place
спросить	ask; inquire
через	across; through; after; in (time)
лицо	face; character
что	what
тогда	then; at that time
хороший	good
каждый	each; every
новый	new
жить	live
должен	should; must; have to; ought to; supposed to
смотреть	watch; look at
почему	why
сторона	side; direction
просто	simply; only; just
нога	foot; leg
сидеть	sit; be sitting
понять	understand
делать	do; make
вдруг	suddenly
над	above; over
взять	take
никто	no one
сделать	do
дверь	door
перед	in front of; before
нужный	need; needed; necessary
понимать	understand; comprehend; get something
казаться	seem
работа	work; paper
три	3
ваш	your; yours (plural; formal)
земля	ground; land; earth; Earth
конец	end; finish
час	hour; watch; clock (pl)
голос	voice
город	city; town
последний	(the very) last; final (in a series)
пока	while; meanwhile; for the time being; bye; see you later
хорошо	good; well; grade of B (4)
давать	give
вода	water
более	more
всегда	always
второй	2nd; second
куда	where; where to; whither
пойти	go; walk
стол	table
ребенок	baby; child; kid
увидеть	see; catch sight of
сила	strength; force
отец	father
женщина	woman
машина	car; machine
случай	happening; event; occurrence; incident
ночь	night
сразу	at once; immediately
мир	world; peace
совсем	completely; totally
остаться	stay; remain
об	about
вид	kind; type; sort; view; aspect
выйти	go out; exit
дать	give
работать	work
любить	love; like
старый	old
почти	almost
ряд	row; line; series
начало	beginning; start
твой	your
вопрос	question
много	much; many; a lot
война	war
ответить	answer
между	between; among
подумать	think
опять	again
белый	white
деньги	money
значить	mean; signify
минута	minute
жена	wife
посмотреть	watch; look at
правда	truth; true; really
главный	major; principal; main
страна	country
свет	light; world; (high) society
ждать	wait; wait for
мать	mother
никогда	never
дорога	road; street; way (very general)
однако	however; though
лежать	lie; be lying
окно	window
никакой	no kind of; no such; none; no
найти	find
писать	write
комната	room
Москва	Moscow
часть	part
вообще	in general
книга	book
маленький	little; small
улица	street
решить	solve; decide
далекий	distant; far (from)
душа	soul
чуть	little bit
вернуться	return; come back
утро	morning
некоторый	some; certain
считать	consider; think; count; compute
сколько	how many; how much
помнить	remember
вечер	evening; party; soiree (more formal)
пол	floor; sex (male/female); half
получить	receive; get
народ	people; nation
сегодня	today
бог	God; god|gods
вместе	together
взгляд	view; gaze; glance; opinion
ходить	go; walk
советский	Soviet
русский	Russian
полный	full; stout; plump
прийти	come; arrive
Россия	Russia
история	story; history
наконец	finally
узнать	recognize; find out
назад	ago; back; backwards (motion)
общий	general; common
заметить	notice; take note of; remark; observe
прошлый	past; previous; last
уйти	leave; depart; go away
известный	well-known; known
давно	long ago; (for) a long time
слышать	hear
слушать	listen to
бояться	be afraid (of); afraid to do/of doing
сын	son
нельзя	not allowed; forbidden; impossible
прямо	straight; forward
долго	for a long time
быстро	quickly; fast
лес	forest; woods
похожий	look like; resemble; be similar to
пять	5
оно	it
сесть	sit down
имя	name; first name (of person; pet)
разговор	conversation
тело	body
молодой	young
стена	wall
красный	red
читать	read
читать	read
читать	read
право	right
старик	old man
ранний	early
хотеться	feel like; want
мама	mom; mama; mommy; mum; mummy
оставаться	stay; remain
высокий	high; tall
путь	path; way
поэтому	therefore; that´s why; and so; for that reason
тысяча	1000; thousand
месяц	month
брать	take
написать	write
целый	whole; entire
начинать	start; begin (with; to do X)
спина	back
настоящий	real; actual
пусть	let; get; have (someone do something)
язык	language; tongue
точно	precise; precisely; exact; exactly
чувствовать	feel; sense
сердце	heart
вести	lead; guide
иногда	sometimes
мальчик	boy; little boy
небо	sky; heaven; the heavens
