"Headword","Definitions","Part of Speech","Semantic Group","Frequency Rank"
"velut","even as, just as","Adverb","Conjunctions/Adverbs","447"
"veniō venīre vēnī ventum","come","Verb: 4th Conjugation","Motion","63"
"ventus -ī m.","wind","Noun: 2nd Declension","Air and Fire","269"
"verbum -ī n.","word","Noun: 2nd Declension","Writing/Poetry","188"
"vērē","truly","Adverb","Speech/Oratory","983"
"vereor verērī veritus sum","fear, stand in awe of","Verb: Deponent","Emotions","884"
"vērō","in fact, certainly, without doubt","Adverb","Conjunctions/Adverbs","280"
"vertō vertere vertī versum","turn","Verb: 3rd Conjugation -ō","Motion","288"
"vērus -a -um","true","Adjective: 1st and 2nd Declension","Speech/Oratory","410"
"vester vestra vestrum","your","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","282"
"vestīgium -ī n.","footstep, footprint, track","Noun: 2nd Declension","Travel","716"
"vestis -is f.","garment, robe, clothing","Noun: 3rd Declension","Life and Being","413"
"vetō -āre vetuī vetītum","forbid","Verb: 1st Conjugation","Verbs of Compelling/Directing","665"
"vetus veteris","old","Adjective: 3rd Declension","Time","295"
"via -ae f.","way, street","Noun: 1st Declension","Travel","196"
"vīcīnus -a -um","neighboring, near","Adjective: 1st and 2nd Declension","Geography","940"
"victor -ōris m.","conqueror","Noun: 3rd Declension","War and Peace","340"
"victōria -ae f.","victory","Noun: 1st Declension","War and Peace","750"
"videō vidēre vīdī vīsum","see","Verb: 2nd Conjugation","Vision","31"
"vincō vincere vīcī victum","conquer","Verb: 3rd Conjugation -ō","War and Peace","101"
"vinculum -ī n.","bond, fetter, tie","Noun: 2nd Declension","War and Peace","594"
"vīnum -ī n.","vine, wine","Noun: 2nd Declension","Animals/Plants","640"
"vir virī m.","man","Noun: 2nd Declension","People","85"
"virgō -inis f.","maiden, virgin, girl","Noun: 3rd Declension","People","418"
"virtūs -ūtis f.","valor, manliness, virtue","Noun: 3rd Declension","Personality Traits/Characteristics","111"
"vīs f.","force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength","Noun: 3rd Declension","War and Peace","115"
"vīta -ae f.","life","Noun: 1st Declension","Life and Being","87"
"vitium -ī n.","flaw, fault, crime","Noun: 2nd Declension","Justice","326"
"vītō -āre","avoid, shun","Verb: 1st Conjugation","Social Life","881"
"vīvō vīvere vīxī vīctum","live","Verb: 3rd Conjugation -ō","Life and Being","156"
"vix","scarcely","Adverb","Conjunctions/Adverbs","352"
"ūllus -a -um","any, anyone","Adjective: 1st and 2nd Declension","Pronouns/Interrogatives","178"
"ultimus -a -um","farthest, final, last, ultimate","Adjective: 1st and 2nd Declension","Geography","432"
"ultrā","beyond, further (adv. and prep. + acc.)","Preposition","Place","600"
"umbra -ae f.","shade, shadow","Noun: 1st Declension","Vision","257"
"umquam","ever","Adverb","Time","482"
"unda -ae f.","wave, flowing water, water","Noun: 1st Declension","Earth and Water","207"
"unde","from where","Adverb","Place","300"
"undique","from all sides, on all sides","Adverb","Place","686"
"ūnus -a -um","one","Adjective: 1st and 2nd Declension","Measurement","53"
"vocō -āre","call","Verb: 1st Conjugation","Speech/Oratory","158"
"volō velle voluī","wish, be willing","Verb: Irregular","Emotions","66"
"volucer -cris -cre","flying","Adjective: 3rd Declension","Animals/Plants","977"
"volucris -is f./m.","bird","Noun: 3rd Declension","Animals/Plants","976"
"voluntās -ātis f.","wish, desire","Noun: 3rd Declension","Emotions","859"
"voluptās -ātis f.","pleasure, enjoyment","Noun: 3rd Declension","Social Life","378"
