a	ah!
a2	abbrev.: ante, anno: ante diem, anno urbis conditae
a2	ah!
ab	by (+abl.)
ab	from, away from (+ abl.)
abactus	driven away, driven off
abacus	 a table of precious material for the display of plate
abalienatio	a transfer of property, sale, cession
abalieno	to convey away, make a former transfer of, sell, alienate
abanteus	 of Abas (king of Argos): Argi, O
abantiades	 a son or descendant of Abas (king of Argos), O
abavus	a grandfather’s grandfather
abdera	 a town of Thrace, proverbial for narrow-minded people
abdicatio	a formal laying down, voluntary renunciation, abdication
abdico	deny, disown, reject, renounce
abdico2	to forbid by an unfavorable omen, reject (opp. addico)
abditus	hidden, concealed, secret
abdo	to put away, remove, set aside
abdomen	 the belly, abdomen
abduco	to lead away, take away, carry off, remove, lead aside
abella	 a town of Campania, V
abeo	to go away, go from
abequito	to ride away (once)
aberratio	a relief, diversion
aberro	to wander out of the way, lose the way, go astray
abhibeo	keep away
abhinc	 of time, ago, since, before now
abhorrens	incongruous, inappropriate
abhorreo	to shrink back from, have an aversion for, shudder at, abhor
abicio	to throw from one, cast away, throw away, throw down
abiecte	dispiritedly, abjectly
abiectio	a casting down
abiectus	low, crouching
abiegnus	of fir-wood, deal
abies	 the fir-tree, silver-fir
abigo	to drive away, drive off
abitio	a departure
abitus	a departure, removal
abiudico	to give judgment against, deprive by a judicial decision, adjudge away
abiungo	to unyoke, loose from harness
abiuro	to deny on oath, abjure
ablaqueatio	digging a trench around a tree
ablaqueo	dig a trench around a tree
ablatus	P. of aufero
ablegatio	a sending away, sending off
ablego	to send off, send out of the way, banish, send into exile
abligurrio	to consume in dainty living, waste in feasting (rare)
abludo	to play out of tune
abluo	to wash away, remove by washing
ablutio	a washing, cleansing
abnego	to refuse, deny (poet.)
abnormis	deviating from rule, irregular
abnuo	to refuse by a sign, deny, refuse, reject, decline
abnuto	to forbid with emphasis
aboleo	to destroy, abolish, efface, put out of the way, annihilate
abolesco	to decay gradually, vanish, disappear, die out
abolitio	an abolition
abolla	 a mantle, cloak
abominatio	abomination
abominor	 orig. of bad omens, to deprecate, wish to nullify
aborigines	the first ancestors of the Romans
aborior	disappear, pass away
abortio	 the procuring of an untimely birth, abortion
abortivus	 prematurely born
abortus	 an untimely birth
abrado	to scrape away, shave off
abreptus	P. of abripio
abripio	to take forcibly away, snatch away, tear from, force off
abrodo	to gnaw off
abrogatio	repeal
abrogo	to repeal, annul, abrogate
abrotonum	 an aromatic plant, southern-wood (a medicine)
abrumpo	to break off, break away, tear, rend, burst, sever
abruptio	a breaking off
abruptus	broken off, cut off
abscedo	to give way, go off, move away, retire, withdraw, depart
abscessio	diminution (once)
abscessus	a going away, departure, absence
abscido	to cut off, hew off
abscindo	to tear off, break away, break off
abscisio	in rhet., a breaking off, interruption
abscissus	P. of abscindo
abscisus	cut off, severed
abscondite	obscurely, abstrusely
absconditus	concealed, secret, hidden
abscondo	to put out of sight, hide, conceal
absens	absent
absentia	absence
absimilis	 unlike (once)
absisto	to withdraw from, depart, go away
absolute	completely, perfectly, fully, absolutely
absolutio	an acquittal
absolutus	complete, finished
absolvo	to set free, release, discharge
absonus	 deviating from the right tone, discordant, inharmonious
absorbeo	to swallow down, devour
absque	 prop., apart from, away from
abstemius	 abstaining from drink, temperate, abstemious, moderate
abstergeo	to wipe off, cleanse by wiping
absterreo	to frighten off, drive away
abstinens	abstinent, temperate, moderate
abstinenter	 unselfishly, modestly (rare); versatus
abstinentia	abstinence, starvation
abstineo	to keep back, keep off, hold back
absto	to stand off (rare)
abstractus	P. of abstraho
abstraho	to drag away, draw off, pull away, detach
abstrudo	to thrust away, push into concealment, hide, conceal
abstrusus	hidden, concealed, secret
abstuli	 of aufero
absum	to be away, be absent
absumo	to take away, diminish, use up, consume, exhaust
absurde	inharmoniously
absurdus	out of tune, discordant, harsh
abundans	of rivers, etc., overflowing, full
abundanter	fully, copiously
abundantia	plenty, fullness, abundance
abunde	in profusion, more than enough, abundantly, amply
abundo	to overflow, stream over, of a river or lake
abundus	copious (post-class.)
abusio	the improper use of a word
abusque	praep. with abl, all the way from
abusus	an abusing, using up
abutor	 to use up, consume, spend, exhaust
abydenus	 of Abydus, a town in Mysia
academia	 the gymnasium near Athens, where Plato taught
academica	 the title of Cicero’s treatise on the Academic philosophy
academicus	 of the Academy, Academic
academicus2	 an Academic philosopher
accedo	to approach
acceleratio	a hastening
accelero	hasten, accelerate
accendo2	to kindle, set on fire, light; inflame
accenseo	to reckon to, count among (rare)
accensi	 unarmed supernumeraries of a legion, ready to fill vacancies
accensus	an attendant of a magistrate, apparitor, orderly
accensus2	P. of accendo
acceptilatio	formal discharging from a debt
acceptio	a taking, receiving, accepting
accepto	to take, receive
acceptum	the receipt
acceptus	welcome, acceptable, pleasing, dear
accessio	a coming to, approach
accessus	a coming near, approach
accianus	of the poet Lu. Accius
accido	to fall upon; to happen
accido2	to cut, cut down
accingo	to gird to, gird on, bind on, put on with a girdle, gird round
accio	to call, summon, send for, invite
accipio	to accept, receive
accipiter	a bird of prey, falcon, hawk
accisus	 impaired, ruined, disordered, overthrown, destroyed
accisus2	 P. of 2 accido
accitus2	a summons, call
acclamatio	a calling, shout, exclamation
acclamo	to call to, shout at, exclaim
acclaro	to make clear, reveal, disclose
acclinatus	recumbent, curved
acclinis	leaning on, inclined to
acclino	to cause to lean on, stay upon
acclivis	up-hill, ascending, steep
acclivitas	an ascent, rising grade, acclivity
accola	he who dwells near, a neighbor
accolo	to dwell near, be a neighbor to
accommodate	fitly, suitably, in accordance
accommodatio	an adjustment, accommodation
accommodatus	fitted, fit, suitable, adapted, appropriate to, in accordance with
accommodo	to fit, adapt, put on, apply
accommodus	 fit for, suitable for
accredo	to accord belief, believe fully
