"suī, sibi, sē, sē",13,"himself, herself, itself, themselves",,
ā (+ abl.) 1,4,away from,,
ā (+ abl.) 2,14,by,,
ab (+ abl.) 1,4,away from,,
ab (+ abl.) 2,14,by,,
"abeō, abīre, abiī (or -īvī) abitūrus",23,"to go away, depart",,
"absum, abesse, āfuī, āfutūrus",12,"to be present, be near",,
ac,10,and,,
"accidō, accidere, accidī, —",24,to fall at/near; happen,,
"accipiō, accipere, accēpī, acceptus",13,to receive,,
"ācer, ācris, ācre",10,"sharp, fierce; eager",,
"aciēs, aciēī, f.",16,battle line,,
ad (+ acc.),4,"to, toward",,
"adeō, adīre, adiī (or -īvī) aditūrus",23,"to go towards, approach",,
"adferō, adferre, attulī, adlātus",23,to bring to; cause ,,
"adsum, adesse, adfuī, adfutūrus",24,"to be present, be near",,
"adveniō, advenīre, advēnī, adventūrus",21,"to arrive, come to; happen",,
"adventus, adventūs, m.",18,arrival,,
"aedificō, aedificāre, aedificāvī, aedificātus",3,to build,,
"aeger, aegra, aegrum",5,"sick, weak",,
"Aenēās, Aenēae, m.",30,Aeneas [leader of the Trojans],,
"aequus, aequa, aequum",15,"even, calm, equal",,
"aestus, aestūs, m.",18,heat; tide,,
"aetās, aetātis, f.",11,"age, life",,
"ager, agrī, m.",2,(cultivated) field; countryside,,
"agō, agere, ēgī, actus",8,"to do, perform; drive",,
"agricola, agricolae, m.",1,farmer,,
"āiō, ait, aiunt",19,"I say, (s)he says, they say",,
aliī … aliī,11,some … others,,
"aliquis, aliquid",26,"someone, something, anyone, anything",,
aliud … aliud,11,one thing … another thing,,
"alius, alia, aliud",11,"other, another; (pl.) others, some",,
"alter, altera, alterum",11,"the one, the other (of two); next, second",,
"altus, alta, altum",5,"high, deep",,
"ambulō, ambulāre, ambulāvī, ambulātūrus",4,to walk,,
"amīcitia, amīcitiae, f.",27,friendship,,
"amīcus, amīca, amīcum",12,friendly (to),,
"amīcus, amīcī, m.",2,friend,,
"āmittō, āmittere, āmīsī, āmissus",14,to lose,,
"amō, amāre, amāvi, amātus",1,to love,,
"amor, amōris, m.",17,love,,
an,24,or,,
"anīmus, animī, m.",2,"mind, spirit, courage; soul",,
"annus, annī, m.",11,year,,
ante,19,"before [of space or time], in front; previously",,
ante (+ acc.),9,"before, in front of",,
antequam,12,before,,
"appellō, appellāre, appellāvī, appellātus",24,"to name, call upon, address",,
"appropinquō, appropinquāre, appropinquāvī, appropinquātūrus",26,"to approach, draw near",,
"aptus, apta, aptum",12,"fit, suitable (for)",,
apud (+ acc.),28,"among, with, near, at (the house of)",,
"aqua, aquae, f.",1,water,,
"arbitror, arbitrārī, arbitrātus sum",22,"to think, judge",,
"arbor, arboris, f.",12,tree,,
"ardeō, ardēre, arsī, arsūrus",16,"to burn, be on fire, glow",,
"arma, armōrum, n. pl.",3,"arms, weapons",,
"ars, artis, f. ",10,"skill, art",,
"arx, arcis, f. ",18,"citadel, summit",,
"asper, aspera, asperum",32,"rough, harsh; cruel",,
at,25,but; at least; then,,
atque,10,and,,
"audeō, audēre, ausus sum",2,to dare,,
"audiō, audīre, audīvī, audītus",8,"to hear, listen (to)",,
"auferō, auferre, abstulī, ablātus",23,"to carry away, take away",,
"aura, aurae, f.",30,"breeze, air",,
"aureus, aurea, aureum",18,"golden, of gold",,
"aurum, aurī, n.",18,gold,,
aut,9,or,,
aut … aut,9,either … or,,
autem,25,however; on the contrary,,
"auxilium, auxiliī, n.",18,"aid, help; [in pl. often] auxiliary troops",,
"beātus, beāta, beātum",24,"happy, blessed; prosperous",,
bellum gerō,12,to wage war,,
"bellum, bellī, n.",2,war,,
bene,19,well,,
"bibō, bibere, bibī, bibitūrus",24,to drink,,
"bonus, bona, bonum",5,good,,
"brevis, breve",10,"brief, short",,
"cadō, cadere, cecidī, cāsūrus",16,to fall,,
"caedēs, caedis, f.",19,"slaughter, murder",,
"caedō, caedere, cecīdī, caesus",19,"to kill, cut; sacrifice [of animals]",,
"caelum, caelī, n.",3,"sky, heavens",,
"Caesar, Caesaris, m.",17,Julius Caesar [a Roman general],,
"canis, canis, m. or f.",28,dog,,
"canō, canere, cecinī, cantus",17,to sing,,
"capiō, capere, cēpī, captus",8,"to take, seize, capture",,
"caput, capitis, n.",7,head; summit,,
"careō, carēre, caruī, caritūrus (+ abl.)",7,"to be without, free from; need, miss",,
"carmen, carminis, n.",9,"song, poem",,
"cārus, cāra, cārum",12,dear (to),,
"casa, casae, f.",2,"house, hut",,
castra ponō,17,to pitch camp,,
"castra, castrōrum, n. pl.",17,camp,,
"cāsus, cāsūs, m.",16,"fall; misfortune, destruction; chance, accident",,
causā (+ gen.),10,"for the sake of, because of",,
"causa, causae, f.",10,"cause, reason",,
"celer, celeris, celere",10,"swift, quick, rapid",,
celeriter,20,quickly,,
"celsus, celsa, celsum",30,high,,
"cēna, cēnae, f.",3,dinner,,
centum,11,hundred,,
"cernō, cernere, crēvī, crētus",19,"to see, discern, perceive, decide",,
certē,25,"certainly, surely, of course; at least",,
"certus, certa, certum",25,"fixed, established, certain; specified; reliable, sure",,
"cēterī, cētera, cētera",15,"the rest, the others",,
"cibus, cibī, m.",22,food,,
circā (+ acc.),15,around,,
circiter,30,"about, near",,
circum (+ acc.),15,around,,
"cīvīlis, cīvīle",29,"civil, public, political",,
"cīvis, cīvis, m./f. ",15,citizen,,
"cīvitās, cīvitātis, f.",7,state; citizenship,,
"clāmō, clāmāre, clāmāvī, clāmātus",2,to shout,,
"clāmor, clāmōris, m. ",17,shout; cheer,,
"clārus, clāra, clārum",9,"clear, bright; famous; loud",,
"coepī, coepisse, coeptus",30,began [ a “defective” verb with no present system],,
"cōgitō, cōgitāre, cōgitāvī, cōgitātus",19,"to think, consider",,
"cognōscō, cognōscere, cognōvī, cognitus",18,"to learn, recognize, understand",,
"cōgō, cōgere, coēgī, coāctus",20,"to force, compel; collect",,
"committō, committere, commīsī, commissus",29,"to join, unite, engage in",,
"commūnis, commūne",21,"shared, common; public",,
"concēdō, concēdere, concessī, concessūrus",27,"to go away, withdraw; yield to, submit; allow; forgive",,
"concurrō, concurrere, concucurrī, concursūrsus",13,"to charge, rush together, clash",,
"condō, condere, condidī, conditus",15,"to found, build, establish",,
"cōnferō, cōnferre, contulī, collātus",23,"to bring together, collect; compare; contribute",,
"cōnficiō, cōnficere, cōnfēcī, cōnfectus",21,"to finish, accomplish; weaken, kill",,
"coniūnx, coniugis, m./f.",9,wife; husband; spouse,,
"cōnor, cōnārī, conātus sum",22,to try,,
"cōnservō, cōnservāre, cōnservāvī, cōnservātus",27,"to save, preserve, keep",,
"cōnsilium, cōnsiliī, n.",2,"plan, advice",,
"cōnspiciō, cōnspicere, cōnspexi, cōnspectus",27,"to observe, catch sight of, look at",,
"cōnstituō, cōnstituere, cōnstituī, cōnstitūtus",14,"to decide, appoint, establish",,
"cōnsul, cōnsulis, m.",7,consul,,
contrā,14,in reply; face to face,,
contrā (+ acc.),14,opposite; against,,
"conveniō, convenīre, convēnī, conventūrus",29,"to assemble, gather; meet; agree",,
"cōpia, cōpiae, f.",19,"abundance, plenty, resources, wealth; [pl.] troops",,
"cornū, cornūs, n.",16,horn; wing (of an army),,
"corpus, corporis, n.",7,"body, corpse",,
"crēdō, crēdere, crēdidī, crēditus",9,"to believe, trust (+ dat. of person believed; + acc. of thing believed)",,
"creō, creāre, creāvī, creātus",8,"to create; elect, choose",,
"crīmen, crīminis, n.",17,"crime; accusation, charge",,
"culpa, culpae, f.",22,"fault, blame",,
cum 1,12,when,,
cum 2,26,"because, since, although",,
cum (+ abl.),5,with,,
"cunctus, cuncta, cunctum",23,"the whole, all [collectively]",,
"cupiditās, cupiditātis, f.",25,"desire, wish, longing, eagerness",,
"cupīdō, cupidinis, f.",25,"desire, wish, longing, eagerness",,
"cupiō, cupere, cupīvī or cupiī, cupītus",20,"to want, desire",,
cūr,25,why,,
"cūra, cūrae, f.",5,"care, anxiety",,
