lemma	headword	definition	chapter
ne2	-ne	[signals a yes/no question]	1
que	-que	and	2
ve	-ve	or	30
sui	"—, suī, sibi, sē, sē"	"himself, herself, itself, themselves"	13
ab	ā	away from [+ abl.]	4
ab	ā	by [+ abl.]	14
ab	ab	away from [+ abl.]	4
ab	ab	by [+ abl.]	14
abeo	"abeō, abīre, abiī (or -īvī) abitūrus"	"to go away, depart"	23
absum	"absum, abesse, āfuī, āfutūrus"	"to be present, be near"	12
atque	ac	and	10
accido	"accidō, accidere, accidī, —"	to fall at/near; happen	24
accipio	"accipiō, accipere, accēpī, acceptus"	to receive	13
acer2	"ācer, ācris, ācre"	"sharp, fierce; eager"	10
acies	"aciēs, aciēī, f."	battle line	16
ad	ad	"to, toward [+ acc.]"	4
adeo	"adeō, adīre, adiī (or -īvī) aditūrus"	"to go towards, approach"	23
affero	"adferō, adferre, attulī, adlātus"	to bring to; cause 	23
adsum	"adsum, adesse, adfuī, adfutūrus"	"to be present, be near"	24
advenio	"adveniō, advenīre, advēnī, adventūrus"	"to arrive, come to; happen"	21
adventus	"adventus, adventūs, m."	arrival	18
aedifico	"aedificō, aedificāre, aedificāvī, aedificātus"	to build	3
aeger	"aeger, aegra, aegrum"	"sick, weak"	5
	"Aenēās, Aenēae, m."	Aeneas [leader of the Trojans]	30
aequus	"aequus, aequa, aequum"	"even, calm, equal"	15
aestus	"aestus, aestūs, m."	heat; tide	18
aetas	"aetās, aetātis, f."	"age, life"	11
ager	"ager, agrī, m."	(cultivated) field; countryside	2
ago	"agō, agere, ēgī, actus"	"to do, perform; drive"	8
agricola	"agricola, agricolae, m."	farmer	1
aio	"āiō, ait, aiunt"	"I say, (s)he says, they say"	19
alius	aliī … aliī	some … others	11
aliquis	"aliquis, aliquid"	"someone, something, anyone, anything"	26
alius	aliud … aliud	one thing … another thing	11
alius	"alius, alia, aliud"	"other, another; (pl.) others, some"	11
alter	"alter, altera, alterum"	"the one, the other (of two); next, second"	11
altus	"altus, alta, altum"	"high, deep"	5
ambulo	"ambulō, ambulāre, ambulāvī, ambulātūrus"	to walk	4
amicitia	"amīcitia, amīcitiae, f."	friendship	27
amicus	"amīcus, amīca, amīcum"	friendly (to)	12
amicus2	"amīcus, amīcī, m."	friend	2
amitto	"āmittō, āmittere, āmīsī, āmissus"	to lose	14
amo	"amō, amāre, amāvi, amātus"	to love	1
amor	"amor, amōris, m."	love	17
an	an	or	24
animus	"anīmus, animī, m."	"mind, spirit, courage; soul"	2
annus	"annus, annī, m."	year	11
ante	ante	"before [of space or time], in front; previously"	19
ante	ante	"before, in front of [+ acc.]"	9
antequam	antequam	before	12
appello2	"appellō, appellāre, appellāvī, appellātus"	"to name, call upon, address"	24
appropinquo	"appropinquō, appropinquāre, appropinquāvī, appropinquātūrus"	"to approach, draw near"	26
aptus	"aptus, apta, aptum"	"fit, suitable (for)"	12
apud 	apud	"among, with, near, at (the house of) [+ acc.]"	28
aqua	"aqua, aquae, f."	water	1
arbitror	"arbitror, arbitrārī, arbitrātus sum"	"to think, judge"	22
arbor	"arbor, arboris, f."	tree	12
ardeo	"ardeō, ardēre, arsī, arsūrus"	"to burn, be on fire, glow"	16
arma	"arma, armōrum, n. pl."	"arms, weapons"	3
ars	"ars, artis, f. "	"skill, art"	10
arx	"arx, arcis, f. "	"citadel, summit"	18
asper	"asper, aspera, asperum"	"rough, harsh; cruel"	32
at	at	but; at least; then	25
atque	atque	and	10
audeo	"audeō, audēre, ausus sum"	to dare	2
audio	"audiō, audīre, audīvī, audītus"	"to hear, listen (to)"	8
aufero	"auferō, auferre, abstulī, ablātus"	"to carry away, take away"	23
aura	"aura, aurae, f."	"breeze, air"	30
aureus	"aureus, aurea, aureum"	"golden, of gold"	18
aurum	"aurum, aurī, n."	gold	18
aut	aut	or	9
aut	aut … aut	either … or	9
autem	autem	however; on the contrary	25
auxilium	"auxilium, auxiliī, n."	"aid, help; [in pl. often] auxiliary troops"	18
beatus	"beātus, beāta, beātum"	"happy, blessed; prosperous"	24
bellum	"bellum, bellī, n."	war	2
bene	bene	well	19
bibo	"bibō, bibere, bibī, bibitūrus"	to drink	24
bonus	"bonus, bona, bonum"	good	5
brevis	"brevis, breve"	"brief, short"	10
cado	"cadō, cadere, cecidī, cāsūrus"	to fall	16
caedes	"caedēs, caedis, f."	"slaughter, murder"	19
caedo	"caedō, caedere, cecīdī, caesus"	"to kill, cut; sacrifice [of animals]"	19
caelum	"caelum, caelī, n."	"sky, heavens"	3
	"Caesar, Caesaris, m."	Julius Caesar [a Roman general]	17
canis	"canis, canis, m. or f."	dog	28
cano	"canō, canere, cecinī, cantus"	to sing	17
capio	"capiō, capere, cēpī, captus"	"to take, seize, capture"	8
caput	"caput, capitis, n."	head; summit	7
careo	"careō, carēre, caruī, caritūrus"	"to be without, free from; need, miss [+ abl.]"	7
carmen	"carmen, carminis, n."	"song, poem"	9
carus	"cārus, cāra, cārum"	dear (to)	12
casa	"casa, casae, f."	"house, hut"	2
castrum	"castra, castrōrum, n. pl."	camp	17
casus	"cāsus, cāsūs, m."	"fall; misfortune, destruction; chance, accident"	16
causa	causā	"for the sake of, because of [+ gen.]"	10
causa	"causa, causae, f."	"cause, reason"	10
celer	"celer, celeris, celere"	"swift, quick, rapid"	10
celeriter	celeriter	quickly	20
celsus	"celsus, celsa, celsum"	high	30
cena	"cēna, cēnae, f."	dinner	3
centum	centum	hundred	11
cerno	"cernō, cernere, crēvī, crētus"	"to see, discern, perceive, decide"	19
certe	certē	"certainly, surely, of course; at least"	25
certus	"certus, certa, certum"	"fixed, established, certain; specified; reliable, sure"	25
ceterus	"cēterī, cētera, cētera"	"the rest, the others"	15
cibus	"cibus, cibī, m."	food	22
circa	circā	around [+ acc.]	15
circiter	circiter	"about, near"	30
circum	circum	around [+ acc.]	15
civilis	"cīvīlis, cīvīle"	"civil, public, political"	29
civis	"cīvis, cīvis, m./f. "	citizen	15
civitas	"cīvitās, cīvitātis, f."	state; citizenship	7
clamo	"clāmō, clāmāre, clāmāvī, clāmātus"	to shout	2
clamor	"clāmor, clāmōris, m. "	shout; cheer	17
clarus	"clārus, clāra, clārum"	"clear, bright; famous; loud"	9
coepi	"coepī, coepisse, coeptus"	began [ a “defective” verb with no present system]	30
cogito	"cōgitō, cōgitāre, cōgitāvī, cōgitātus"	"to think, consider"	19
cognosco	"cognōscō, cognōscere, cognōvī, cognitus"	"to learn, recognize, understand"	18
cogo	"cōgō, cōgere, coēgī, coāctus"	"to force, compel; collect"	20
committo	"committō, committere, commīsī, commissus"	"to join, unite, engage in"	29
communis	"commūnis, commūne"	"shared, common; public"	21
concedo	"concēdō, concēdere, concessī, concessūrus"	"to go away, withdraw; yield to, submit; allow; forgive"	27
concurro	"concurrō, concurrere, concucurrī, concursūrsus"	"to charge, rush together, clash"	13
condo	"condō, condere, condidī, conditus"	"to found, build, establish"	15
confero	"cōnferō, cōnferre, contulī, collātus"	"to bring together, collect; compare; contribute"	23
conficio	"cōnficiō, cōnficere, cōnfēcī, cōnfectus"	"to finish, accomplish; weaken, kill"	21
coniunx	"coniūnx, coniugis, m./f."	wife; husband; spouse	9
conor	"cōnor, cōnārī, conātus sum"	to try	22
conservo	"cōnservō, cōnservāre, cōnservāvī, cōnservātus"	"to save, preserve, keep"	27
consilium	"cōnsilium, cōnsiliī, n."	"plan, advice"	2
conspicio	"cōnspiciō, cōnspicere, cōnspexi, cōnspectus"	"to observe, catch sight of, look at"	27
constituo	"cōnstituō, cōnstituere, cōnstituī, cōnstitūtus"	"to decide, appoint, establish"	14
consul	"cōnsul, cōnsulis, m."	consul	7
contra	contrā	in reply; face to face	14
contra	contrā	opposite; against [+ acc.]	14
convenio	"conveniō, convenīre, convēnī, conventūrus"	"to assemble, gather; meet; agree"	29
copia	"cōpia, cōpiae, f."	"abundance, plenty, resources, wealth; [pl.] troops"	19
cornu	"cornū, cornūs, n."	horn; wing (of an army)	16
corpus	"corpus, corporis, n."	"body, corpse"	7
credo	"crēdō, crēdere, crēdidī, crēditus"	"to believe, trust [+ dat. of person believed; + acc. of thing believed)"	9
creo	"creō, creāre, creāvī, creātus"	"to create; elect, choose"	8
crimen	"crīmen, crīminis, n."	"crime; accusation, charge"	17
culpa	"culpa, culpae, f."	"fault, blame"	22
cum2	cum	when	12
cum2	cum	"because, since, although"	26
cum	cum	with [+ abl.]	5
cunctus	"cunctus, cuncta, cunctum"	"the whole, all [collectively]"	23
cupiditas	"cupiditās, cupiditātis, f."	"desire, wish, longing, eagerness"	25
cupido	"cupīdō, cupidinis, f."	"desire, wish, longing, eagerness"	25
cupio	"cupiō, cupere, cupīvī or cupiī, cupītus"	"to want, desire"	20
cur 	cūr	why	25
cura	"cūra, cūrae, f."	"care, anxiety"	5
curo	"cūrō, cūrāre, cūrāvī, cūrātus"	"to care for/about, pay attention to; cure"	21
curro	"currō, currere, cucurrī, cursus"	to run	13
de2	dē	"down from; about, concerning [+ abl.]"	6
dea	"dea, deae, f."	goddess	3
debeo	"dēbeō, dēbēre, dēbui, dēbitus"	"""ought to, should""; to owe; to be obligated to"	1
deinde	deinde	"then, next"	30
deleo	"dēleō, dēlēre, dēlēvī, dēlētus"	to destroy; blot out	21
denique	dēnique	"finally, at last; in short; in fact"	24
despero	"dēspērō, dēspērāre, dēspērāvī, dēspērātus"	to despair	24
deus	"deus, deī, m."	god	3
dexter	"dexter, dextra, dextrum"	right (side); [fem.] right hand; pledge (of friendship)	9
dico2	"dīcō, dīcere, dīxī, dīctus"	"to say, speak, tell"	8
dies 	"diēs, diēī, m. or f."	day (fem. used when it is an appointed or set day)	16
